YEAR,MONTH,DATE,NBR_AFF,NBR_SUIVI,NBR_DOC,NBR_ENV,NBR_DOC_ACC,NBRE_AFF_ACC
2002,12,12.2002,29,59,1728,14,,
2003,1,01.2003,10,50,498,14,,
2003,2,02.2003,14,128,553,27,,
2003,3,03.2003,15,135,909,56,,
2003,4,04.2003,78,403,704,143,1372,
2003,5,05.2003,67,627,941,190,2902,
2003,6,06.2003,75,551,764,221,1974,
2003,7,07.2003,105,558,706,183,3222,
2003,8,08.2003,34,419,761,151,2518,
2003,9,09.2003,81,594,643,185,2566,
2003,10,10.2003,63,674,687,215,3005,
2003,11,11.2003,105,609,859,237,3602,
2003,12,12.2003,38,524,957,222,3220,
2004,1,01.2004,52,587,1297,169,4187,
2004,2,02.2004,129,1188,1604,299,6563,
2004,3,03.2004,176,1855,2436,440,8864,
2004,4,04.2004,124,1628,1937,358,8900,
2004,5,05.2004,142,1844,2317,438,9054,
2004,6,06.2004,145,2179,3768,538,11084,
2004,7,07.2004,155,1956,2504,462,9671,
2004,8,08.2004,507,1821,2164,515,10989,
2004,9,09.2004,946,1877,2169,546,10856,
2004,10,10.2004,250,2267,3538,608,12208,
2004,11,11.2004,274,2514,3457,752,14096,
2004,12,12.2004,281,2081,2655,633,12141,
2005,1,01.2005,287,2249,3087,672,15225,
2005,2,02.2005,225,2470,3162,766,16002,
2005,3,03.2005,349,2981,3389,839,17759,
2005,4,04.2005,440,3068,3330,873,17744,
2005,5,05.2005,401,2847,2840,823,15878,
2005,6,06.2005,520,3373,3113,990,20856,
2005,7,07.2005,538,2946,2863,843,20037,
2005,8,08.2005,337,2869,2679,799,19970,
2005,9,09.2005,328,3134,4515,923,19633,
2005,10,10.2005,294,3151,5014,880,18470,
2005,11,11.2005,332,3125,3753,887,19888,
2005,12,12.2005,229,2302,2469,593,15690,
2006,1,01.2006,440,2554,3201,732,19254,
2006,2,02.2006,650,3077,3048,776,21475,
2006,3,03.2006,601,3443,3400,943,24075,
2006,4,04.2006,544,2802,2854,819,19516,
2006,5,05.2006,806,3836,3685,1161,23512,
2006,6,06.2006,700,3727,3238,989,21687,
2006,7,07.2006,762,4134,4166,997,23123,
2006,8,08.2006,656,3351,3407,939,23098,
2006,9,09.2006,687,3139,3758,958,22996,
2006,10,10.2006,664,3763,3639,1140,23458,
2006,11,11.2006,691,3834,4246,1038,26191,
2006,12,12.2006,407,2593,2627,803,17398,
2007,1,01.2007,534,3513,3583,891,23759,
2007,2,02.2007,2306,3185,3629,888,21830,
2007,3,03.2007,725,4247,4544,1317,25991,
2007,4,04.2007,583,3688,3349,1053,22107,
2007,5,05.2007,780,4348,3626,1099,23742,37406
2007,6,06.2007,691,4304,4040,1114,25829,39030
2007,7,07.2007,666,4205,3881,1153,26333,37928
2007,8,08.2007,562,3476,3128,976,22395,31215
2007,9,09.2007,607,3730,3119,944,20871,33730
2007,10,10.2007,863,4710,4463,1234,27645,41606
2007,11,11.2007,829,4484,4105,1097,26543,41285
2007,12,12.2007,1447,4364,5449,784,28754,33058
2008,1,01.2008,2085,6664,7742,1016,47318,44733
2008,2,02.2008,1965,6431,6868,1120,49037,49783
2008,3,03.2008,1483,5568,6518,976,41467,43144
2008,4,04.2008,1788,6585,8078,1168,46750,54048
2008,5,05.2008,1707,6456,6876,1153,42372,48818
2008,6,06.2008,1885,6744,7111,1245,42871,51880
2008,7,07.2008,2069,7197,7765,1226,46177,53624
2008,8,08.2008,1518,5570,5528,925,36047,40389
2008,9,09.2008,1679,6078,6139,1163,38249,45614
2008,10,10.2008,1821,7138,7030,1160,45785,55664
2008,11,11.2008,1588,6054,6357,1045,38944,45384
2008,12,12.2008,1632,5586,6336,913,33885,37145
2009,1,01.2009,1893,6320,6009,943,40108,45225
2009,2,02.2009,1811,6361,6586,1086,41236,44766
2009,3,03.2009,1949,7519,7164,1423,44723,53059
2009,4,04.2009,1926,6487,6402,1139,39133,47654
2009,5,05.2009,1900,6543,6520,1134,38040,44896
2009,6,06.2009,2039,7299,6716,1257,39658,51406
2009,7,07.2009,2115,6993,7128,1296,42645,49418
2009,8,08.2009,1708,5834,5849,998,38199,45190
2009,9,09.2009,1949,6906,6861,1168,41096,48858
2009,10,10.2009,1953,7187,7479,1348,45905,52908
2009,11,11.2009,2002,6912,7608,1201,44875,54090
2009,12,12.2009,1881,6300,7171,1000,37856,41770
2010,1,01.2010,1810,6864,6822,991,45159,47891
2010,2,02.2010,1821,6025,7105,1042,42617,46929
2010,3,03.2010,2298,7913,11122,1395,50928,61125
2010,4,04.2010,2038,6923,7549,1222,42947,52816
2010,5,05.2010,1791,6903,7292,1116,39930,48392
2010,6,06.2010,2018,7597,8571,1470,49330,59849
2010,7,07.2010,1948,7654,7648,1220,46156,56162
2010,8,08.2010,1819,6760,6747,1011,42454,54754
2010,9,09.2010,1815,6985,7169,1128,41335,48516
2010,10,10.2010,1744,7073,7330,1205,42265,52763
2010,11,11.2010,1830,7413,7794,1136,46592,61665
2010,12,12.2010,1510,6101,7148,905,36635,42504
2011,1,01.2011,2057,6347,6757,981,46178,54444
2011,2,02.2011,1786,6722,6886,1019,45902,54863
2011,3,03.2011,2235,8186,8233,1333,53244,64705
2011,4,04.2011,2018,6934,6967,1188,47333,58469
2011,5,05.2011,2223,8893,8295,1363,54132,74097
2011,6,06.2011,1907,7141,7766,1250,48012,62309
2011,7,07.2011,1885,7334,8167,1281,50535,65576
2011,8,08.2011,1852,7674,7369,1148,53853,69735
2011,9,09.2011,2961,8111,7978,1289,53617,70958
2011,10,10.2011,1862,7904,7892,1230,53354,70447
2011,11,11.2011,2276,8729,8905,1305,58572,84886
2011,12,12.2011,1709,7230,7639,1005,48107,58483
2012,1,01.2012,2318,8860,7777,1044,62385,78158
2012,2,02.2012,2076,8533,7993,1178,63156,77604
2012,3,03.2012,2165,8743,8542,1299,63242,78725
2012,4,04.2012,2333,7520,7262,1237,49056,63376
2012,5,05.2012,2561,8225,7780,1139,54302,74412
2012,6,06.2012,1993,8664,8246,1115,56340,81411
2012,7,07.2012,2271,8633,8288,1186,52809,80265
2012,8,08.2012,1891,7672,7277,1044,48572,76229
2012,9,09.2012,1842,7267,7063,1007,46224,69326
2012,10,10.2012,2225,8817,8480,1165,57457,83197
2012,11,11.2012,2096,9854,9182,1228,60724,88903
2012,12,12.2012,1700,6084,7176,914,39874,54219
2013,1,01.2013,2265,8682,7795,1062,59979,82560
2013,2,02.2013,2124,7998,7867,997,53279,72878
2013,3,03.2013,2758,8764,8485,1365,55099,76601
2013,4,04.2013,2531,8992,8837,1321,54766,80414
2013,5,05.2013,2302,8695,8152,1248,53710,79031
2013,6,06.2013,2174,9269,8497,1495,57677,81879
2013,7,07.2013,4713,10747,10136,1648,59985,87462
2013,8,08.2013,5650,8422,8468,1189,50118,80289
2013,9,09.2013,2010,8931,8709,1286,49452,73926
2013,10,10.2013,2373,10904,9442,1437,62472,91522
2013,11,11.2013,2313,9809,10175,1509,59330,87717
2013,12,12.2013,1938,8433,8440,1063,46574,70090
2014,1,01.2014,2549,9936,9007,1188,61258,84619
2014,2,02.2014,2061,9705,8457,1317,55380,81815
2014,3,03.2014,1908,9488,9538,1521,58888,81922
2014,4,04.2014,2999,9531,9560,1559,52605,76915
2014,5,05.2014,2381,10017,9846,1547,49935,86681
2014,6,06.2014,1968,9518,10179,1832,52554,79162
2014,7,07.2014,2187,11094,10937,1619,56898,86793
2014,8,08.2014,1673,9051,8373,1146,46696,70673
2014,9,09.2014,2002,9135,9444,1467,52450,77745
2014,10,10.2014,1989,10044,10250,1626,58090,86981
2014,11,11.2014,1823,9822,9806,1655,56076,84743
2014,12,12.2014,1594,8013,9253,1284,47965,66919
2015,1,01.2015,2280,9847,9562,1383,61970,85412
2015,2,02.2015,2298,9906,9973,1491,56185,83806
2015,3,03.2015,3393,11206,11849,1733,62244,93682
2015,4,04.2015,2128,10309,10229,1575,54561,83799
2015,5,05.2015,1895,9397,9245,1476,49122,78636
2015,6,06.2015,2211,11220,11002,1852,62342,96633
2015,7,07.2015,2187,11207,10365,1750,58631,89575
2015,8,08.2015,1951,9427,9263,1538,50056,77216
2015,9,09.2015,2230,9623,9621,1537,55169,81607
2015,10,10.2015,2116,10427,10195,1643,56574,84707
2015,11,11.2015,1989,10221,10612,1473,59624,85081
2015,12,12.2015,1695,8345,9578,1322,48418,85432
