YEAR,MONTH,DATE,NBR_AFF,NBR_SUIVI,NBR_DOC,NBR_ENV,NBR_DOC_ACC,NBRE_AFF_ACC
2014,1,01.2014,2549,9936,9007,1188,61258,84619
2014,2,02.2014,2061,9705,8457,1317,55380,81815
2014,3,03.2014,1908,9488,9538,1521,58888,81922
2014,4,04.2014,2999,9531,9560,1559,52605,76915
2014,5,05.2014,2381,10017,9846,1547,49935,86681
2014,6,06.2014,1968,9518,10179,1832,52554,79162
2014,7,07.2014,2187,11094,10937,1619,56898,86793
2014,8,08.2014,1673,9051,8373,1146,46696,70673
2014,9,09.2014,2002,9135,9444,1467,52450,77745
2014,10,10.2014,1989,10044,10250,1626,58090,86981
2014,11,11.2014,1823,9822,9806,1655,56076,84743
2014,12,12.2014,1594,8013,9253,1284,47965,66919
2015,1,01.2015,2280,9847,9562,1383,61970,85412
2015,2,02.2015,2298,9906,9973,1491,56185,83806
2015,3,03.2015,3393,11206,11849,1733,62244,93682
2015,4,04.2015,2128,10309,10229,1575,54561,83799
2015,5,05.2015,1895,9397,9245,1476,49122,78636
2015,6,06.2015,2211,11220,11002,1852,62342,96633
2015,7,07.2015,2187,11207,10365,1750,58631,89575
2015,8,08.2015,1951,9427,9263,1538,50056,77216
2015,9,09.2015,2230,9623,9621,1537,55169,81607
2015,10,10.2015,2116,10427,10195,1643,56574,84707
2015,11,11.2015,1989,10221,10612,1473,59624,85081
2015,12,12.2015,1695,8345,9578,1322,48418,85432
